Source,Target,Type,Id,Label,timeset,Weight
UCVdBvGnmfgmRJlU1SQLlDMw,UCK09g6gYGMvU-0x1VCF1hgA,Directed,57194,,,1
UCd7m1Kjp1YAvggXse8is_hw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,57232,,,1
UCd7m1Kjp1YAvggXse8is_hw,UCwnKziETDbHJtx78nIkfYug,Directed,57254,,,1
UCd7m1Kjp1YAvggXse8is_hw,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,57258,,,1
UCK6fYayqlLHU5OXaoPaQrug,UCRds47MZ1Ng7KCLseg2TkWA,Directed,57362,,,1
UC0edtCnSIOXT_HuP07cdivg,UCwnKziETDbHJtx78nIkfYug,Directed,57882,,,1
UCywaJYYCNS1ujGwdCQMRrpQ,UCFWjEwhX6cSAKBQ28pufG3w,Directed,58652,,,1
UCywaJYYCNS1ujGwdCQMRrpQ,UC2C_jShtL725hvbm1arSV9w,Directed,58655,,,1
UCTiK7y8nz_bx4ho5Cw7cfkQ,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,58701,,,1
UC8cRXCK2QEkwBEMsCLAE7XQ,UCRds47MZ1Ng7KCLseg2TkWA,Directed,58995,,,1
UCsHdwUKr4yLOs_TjI9vVIyw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,59057,,,1
UCDjOWxepDsatTJYHVpxHnUg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,59124,,,1
UC2LYsa3UvQwOfE_UaeR97IQ,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,59678,,,1
UC2LYsa3UvQwOfE_UaeR97IQ,UCRds47MZ1Ng7KCLseg2TkWA,Directed,59683,,,1
UCUQ2W76VPtaPfSnZ77T2kFg,UCwnKziETDbHJtx78nIkfYug,Directed,60698,,,1
UCUQ2W76VPtaPfSnZ77T2kFg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,60700,,,1
UCMUVFCauiapAD6hm4Dgq1CA,UCeNbszrEiBC5Nv53Cr5UViw,Directed,60981,,,1
UCozuThWWWV3ssHwEI1pleNA,UClvD6c1VI75QZWJjA_yiWhg,Directed,61957,,,1
UCUX2LLWHkFZrBQ9gA4WmbZw,UC7w6MNvnZJ0DKU41wa7yA8w,Directed,61973,,,1
UCp1uJOsfg3fq4hNGqYAtBWA,UCwnKziETDbHJtx78nIkfYug,Directed,61991,,,1
UCH8V61RkrF99YrbIbx9pBKQ,UCwnKziETDbHJtx78nIkfYug,Directed,62101,,,1
UCOKUBJ50Wkv98LQmfXBGjEA,UCwnKziETDbHJtx78nIkfYug,Directed,62397,,,1
UCUV4w40IOZb-JZLIZ3pT0Zg,UCagTsJE66BwJkBfwU9izyaA,Directed,62759,,,1
UCFhQtxFueClVufRtsFVBIsQ,UCwnKziETDbHJtx78nIkfYug,Directed,63655,,,1
UCYftZQanGxCv8KM0BO_2uxw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,64085,,,1
UCILrsx8bdSD34FvSIC_qoCA,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,64548,,,1
UCILrsx8bdSD34FvSIC_qoCA,UCRds47MZ1Ng7KCLseg2TkWA,Directed,64563,,,1
UCaJeoI6oepFnyQkP0h2ngHg,UCK09g6gYGMvU-0x1VCF1hgA,Directed,64668,,,1
UCaJeoI6oepFnyQkP0h2ngHg,UCwnKziETDbHJtx78nIkfYug,Directed,64696,,,1
UCJksBWCD1c2mLrLS2TXj14w,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,65125,,,1
UCoYlSBiJ6EPXHCrOUJ5HTYw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,65453,,,1
UCvmve6qe2qpnho989Qw-4lg,UClvD6c1VI75QZWJjA_yiWhg,Directed,67252,,,1
UCGDVgNdHINX7X3ZaiL1p1yw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,67277,,,1
