Source,Target,Type,Rel 
aantiracist,trayneshacole,Directed,Retweet
aaronallenall,willie_bign,Directed,Retweet
adrianamfttt,aaronallenall,Directed,Retweet
barelybarboza,aaronallenall,Directed,Retweet
caitlinmillsyup,aaronallenall,Directed,Retweet
car_rems,aaronallenall,Directed,Retweet
catherinecalls,aaronallenall,Directed,Retweet
cecil_hays,aaronallenall,Directed,Retweet
ch1esther,aaronallenall,Directed,Retweet
cheongmai,aaronallenall,Directed,Retweet
dan_sel_lers,aaronallenall,Directed,Retweet
debra_stern_,aaronallenall,Directed,Retweet
del_mcquarrie,aaronallenall,Directed,Retweet
devin_yat,aaronallenall,Directed,Retweet
fredythecreator,aaronallenall,Directed,Retweet
jeremiah_jah,aaronallenall,Directed,Retweet
jimthurmann,aaronallenall,Directed,Retweet
kathyditmar,aaronallenall,Directed,Retweet
melissayesiam,aaronallenall,Directed,Retweet
mitch_lllynch,aaronallenall,Directed,Retweet
radekesofia,aaronallenall,Directed,Retweet
siennasmm,aaronallenall,Directed,Retweet
sound4boyz,aaronallenall,Directed,Retweet
abalakovaylia,alex_dugin,Directed,Retweet
abalakovaylia,anastassiazz,Directed,Retweet
abalakovaylia,maxdementiev,Directed,Retweet
abalakovaylia,novostirnd,Directed,Retweet
abalakovaylia,riafanru,Directed,Retweet
abigailssilk,andyhashtagger,Directed,Retweet
abigailssilk,booth_prince,Directed,Retweet
abigailssilk,charlesjharper,Directed,Retweet
abigailssilk,chrixmorgan,Directed,Retweet
abigailssilk,danageezus,Directed,Retweet
abigailssilk,jenn_abrams,Directed,Retweet
abigailssilk,politweecs,Directed,Retweet
abigailssilk,rapedbycosby,Directed,Retweet
andyhashtagger,abigailssilk,Directed,Retweet
brandnewjenna,abigailssilk,Directed,Retweet
jennyhutch31,abigailssilk,Directed,Retweet
meggiemckenzie,abigailssilk,Directed,Retweet
abu_ubaida2,mideastview,Directed,Retweet
abunuwasa,novostispb,Directed,Retweet
abunuwasa,oh_misspizza,Directed,Retweet
abunuwasa,riafanru,Directed,Retweet
acab_zone,bleepthepolice,Directed,Retweet
acejinev,trayneshacole,Directed,Retweet
acejinev,blacknewsoutlet,Directed,Retweet
acejinev,blacktolive,Directed,Retweet
acejinev,chicagodailynew,Directed,Retweet
acejinev,jenn_abrams,Directed,Retweet
acejinev,randolphburrr,Directed,Retweet
acejinev,ten_gop,Directed,Retweet
acejinev,tessyelmore,Directed,Retweet
acejinev,wokefromday1,Directed,Retweet
bricegeller,acejinev,Directed,Retweet
lagonehoe,acejinev,Directed,Retweet
oliviadwarren,acejinev,Directed,Retweet
adamchapmanjr,blacknewsoutlet,Directed,Retweet
adamchapmanjr,bleepthepolice,Directed,Retweet
adamchapmanjr,siccerthanyou,Directed,Retweet
imapharrelfake,adamchapmanjr,Directed,Retweet
jery_robertsyo,adamchapmanjr,Directed,Retweet
kaydenmelton,adamchapmanjr,Directed,Retweet
lagonehoe,adamchapmanjr,Directed,Retweet
stanleyparris,adamchapmanjr,Directed,Retweet
tessyelmore,adamchapmanjr,Directed,Retweet
youjustctrlc,adamchapmanjr,Directed,Retweet
adamma_defond,maxdementiev,Directed,Retweet
adamma_defond,novosticrimea,Directed,Retweet
adamma_defond,novostismr,Directed,Retweet
adamma_defond,riafanru,Directed,Retweet
adamma_defond,zubovnik,Directed,Retweet
new_ageofmee,adamma_defond,Directed,Retweet
adkezlate,andyhashtagger,Directed,Retweet
adkezlate,danageezus,Directed,Retweet
adkezlate,politweecs,Directed,Retweet
adkezlate,puredavie,Directed,Retweet
adrgreerr,bleepthepolice,Directed,Retweet
adrgreerr,hiimkhloe,Directed,Retweet
adrgreerr,nj_blacknews,Directed,Retweet
adrgreerr,trayneshacole,Directed,Retweet
adrianamfttt,arnoldparrk,Directed,Retweet
adrianamfttt,d_andre_austin_,Directed,Retweet
adrianamfttt,ertmangreta,Directed,Retweet
adrianamfttt,shannongibsonim,Directed,Retweet
adrienne_gg,andyhashtagger,Directed,Retweet
adrienne_gg,booth_prince,Directed,Retweet
adrienne_gg,bruciedublin,Directed,Retweet
adrienne_gg,danageezus,Directed,Retweet
adrienne_gg,jarrardnorman,Directed,Retweet
adrienne_gg,jenn_abrams,Directed,Retweet
adrienne_gg,politweecs,Directed,Retweet
curtisbigman,adrienne_gg,Directed,Retweet
afonia_zhilcov,novostispb,Directed,Retweet
afonia_zhilcov,riafanru,Directed,Retweet
afonia_zhilcov,zubovnik,Directed,Retweet
afoninmixail,maxdementiev,Directed,Retweet
afoninmixail,novostirnd,Directed,Retweet
afoninmixail,riafanru,Directed,Retweet
afoninmixail,zubovnik,Directed,Retweet
griga_bash,afoninmixail,Directed,Retweet
africavserdce,comradzampolit,Directed,Retweet
africavserdce,krivelev_law,Directed,Retweet
africavserdce,novostirnd,Directed,Retweet
africavserdce,novostiuf,Directed,Retweet
africavserdce,riafanru,Directed,Retweet
afuckinside,lyndawking,Directed,Retweet
agafonme,boeing_is_back,Directed,Retweet
agafonme,comradzampolit,Directed,Retweet
agafonme,dannymaslov,Directed,Retweet
agafonme,evgenpaper,Directed,Retweet
agafonme,maxdementiev,Directed,Retweet
agafonme,novostispb,Directed,Retweet
agafonme,rudemyanenko,Directed,Retweet
agafonme,ruopentwit,Directed,Retweet
agafonme,v_bakulin,Directed,Retweet
agafonme,viktor_lavren,Directed,Retweet
agafonme,vitaegorov,Directed,Retweet
dannymaslov,agafonme,Directed,Retweet
dmitr_mironov,agafonme,Directed,Retweet
kirill_gromov1,agafonme,Directed,Retweet
