screen_name,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
firasalsarrai,0,0,0,0,0,4
CdfjNidal,0,0,0,0,0,4
MayyarShehadeh,0,0,0,0,0,4
Hala_Deeb,0,0,0,0,0,4
AmalAbuJries,0,0,0,0,0,4
yousef_ibra,0,0,0,0,0,4
susanKpatto,0,0,0,0,0,4
MazenW23,0,0,0,0,0,4
othmanmhmmadr,0,0,0,0,0,4
1husseinbaghdad,0,0,0,0,0,4
last_knights_iq,0,0,0,0,0,4
ziadturkey,0,0,0,0,0,4
MAJEDALKHELAIFI,0,0,0,0,0,4
euronewsar,0,0,0,0,0,4
KSEweb,0,0,0,0,0,4
sinanantoon,0,0,0,0,0,4
AtyabAshatti,0,0,0,0,0,4
wa3ad_94,0,0,0,0,0,4
mustafanasser4,0,0,0,0,0,4
hhnijmeh,0,0,0,0,0,4
bataleh,0,0,0,0,0,4
kareeemsayed,0,0,0,0,0,4
safia_alsouhail,0,0,0,0,0,4
Ali_Manaseer,0,0,0,0,0,4
ali_sport813,0,0,0,0,0,4
OCHAIraq,0,0,0,0,0,4
AdnanAwadh,0,0,0,0,0,4
Mina_Aldroubi,0,0,0,0,0,16
IraqiProPlayers,0,0,0,0,0,4
SanadAlhamdany,0,0,0,0,0,4
renas_ali_1977,0,0,0,0,0,4
mustafakamilm,0,0,0,0,0,5
HamidHadeed,0,4,0.469526,0.563702,1262.542857,5
historylvrsclub,0,0,0,0,0,4
Ali_Al_Lamy2018,0,0,0,0,0,4
N_noor_A,0,0,0,0,0,4
noourhano,0,0,0,0,0,4
IraqZaman2,0,0,0,0,0,4
H_Alkhersan,0,0,0,0,0,4
saifhilal84,0,0,0,0,0,4
dr_huda_bahadly,0,0,0,0,0,4
dw_arabic,0,0,0,0,0,18
Raseef22,0,0,0,0,0,26
juliansher,0,0,0,0,0,26
majdulinhasan,0,0,0,0,0,26
DougHaddix,0,0,0,0,0,26
IRE_NICAR,0,0,0,0,0,26
MortadaSaja,0,0,0,0,0,26
lanaplustv,0,0,0,0,0,26
SaadaEl,0,0,0,0,0,26
aseell_sarih,0,0,0,0,0,26
samehellaboody1,0,0,0,0,0,26
citizenmojo,0,0,0,0,0,26
MAshazly,0,0,0,0,0,26
ajplusarabi,0,0,0,0,0,26
Aisha_Elgayar,0,0,0,0,0,26
SIRAJ_SYRIA,0,0,0,0,0,26
gijnArabic,0,0,0,0,0,26
abeersaady,0,0,0,0,0,26
dralzumor,0,0,0,0,0,26
gijnRu,0,0,0,0,0,26
DeutscheWelle,0,0,0,0,0,26
gijn,0,0,0,0,0,26
sababebawi,0,0,0,0,0,26
ausmideast,0,0,0,0,0,26
UniCanberra,0,0,0,0,0,26
SaleckZeid,0,0,0,0,0,26
bellewarmedia,0,0,0,0,0,26
IJNetArabic,0,0,0,0,0,26
7iber,0,0,0,0,0,26
nicolaskb,0,0,0,0,0,26
Daraj_media,0,0,0,0,0,26
f_taweel,0,0,0,0,0,26
ASoliman8,0,0,0,0,0,26
RawanDamen,0,0,0,0,0,26
najouapresse,0,0,0,0,0,26
MohamedTarekAbd,0,0,0,0,0,26
alialhilfi,0,0,0,0,0,6
AlyaaGad,0,0,0,0,0,4
jjeeaA90,0,0,0,0,0,4
ZaidBenjamin5,0,0,0,0,0,32
fadhil_abu_ragh,0,0,0,0,0,7
dr_naseer,0,0,0,0,0,18
thestevennabil,0,0,0,0,0,14
Jamal_Bin_Hejaz,0,0,0,0,0,6
JhonyCash156,0,0,0,0,0,6
DrAl_Lawati,0,0,0,0,0,10
lawati875,0,0,0,0,0,6
EAGLE49140958,0,0,0,0,0,6
vuJ1xzzAxFdCawZ,0,0,0,0,0,6
sfer661,0,0,0,0,0,19
turkii633,0,0,0,0,0,6
ksa2030ds,0,0,0,0,0,6
Wal11A1,0,0,0,0,0,6
atras10,0,0,0,0,0,6
saadawi_a,0,0,0,0,0,6
Sheikh_khalifah,0,0,0,0,0,7
abdalabbas_1,0,0,0,0,0,6
UM_mustafa94,0,0,0,0,0,6
dolchi8,0,0,0,0,0,6
free4ever_,0,0,0,0,0,7
5fe5c888c2ce40c,0,0,0,0,0,6
HoseinMortada,0,0,0,0,0,6
yas9i,0,0,0,0,0,6
Ex_imam_mosawy,0,0,0,0,0,6
Warrior4War,0,0,0,0,0,6
aldeen57,0,0,0,0,0,6
Unexplained,0,0,0,0,0,6
SufianSamarrai,0,0,0,0,0,6
darkhorse80001,0,0,0,0,0,6
IAlshabandar,0,0,0,0,0,19
AHMED18491164,0,0,0,0,0,6
Falah_Almashal,0,0,0,0,0,19
Hkkk77898542,0,0,0,0,0,6
kadwi69,0,0,0,0,0,6
E1O7yCX11uIdjTS,0,0,0,0,0,6
Parse_ir,0,0,0,0,0,6
abukarsh2018,0,0,0,0,0,6
saadaldosari21,0,0,0,0,0,6
sadiqalmussawi1,0,0,0,0,0,6
alemarey66,0,0,0,0,0,6
waassnnn,0,0,0,0,0,6
alkalbani2007,0,0,0,0,0,6
jonfavs,0,0,0,0,0,6
sukinameshekhis,0,0,0,0,0,6
maryamalou,0,0,0,0,0,6
abuhilalah,0,0,0,0,0,6
alrasd_iraq,0,0,0,0,0,6
3eGbAeByX4hxd1b,0,0,0,0,0,19
KH28755956,0,0,0,0,0,6
dr_hud_hud,0,0,0,0,0,6
JoeKaeser,0,0,0,0,0,6
maalhakim,0,0,0,0,0,6
fifacom_ar,0,0,0,0,0,6
sjd_aljubori,0,0,0,0,0,18
Husseinnalii,0,0,0,0,0,18
ahmedalbasheer1,0,0,0,0,0,19
alifarhan85,0,0,0,0,0,18
Iraqfootbal,0,0,0,0,0,18
adnanaltia,0,0,0,0,0,19
_maytham_12,0,0,0,0,0,18
ovdIbJmeYRKhEEW,0,0,0,0,0,18
DijlahTv,0,0,0,0,0,18
Ms_No0oN,0,0,0,0,0,18
scopper_gapan,0,0,0,0,0,18
Nour19745649,0,0,0,0,0,18
eXtraTranz,0,0,0,0,0,18
seemo_alh,0,0,0,0,0,18
lolo62151076,0,0,0,0,0,18
HFC_5033,0,0,0,0,0,18
dodee_95,0,0,0,0,0,18
mm2__otb,0,0,0,0,0,18
ayshh8381,0,0,0,0,0,18
445Hf,0,0,0,0,0,18
EMUNOPLA,0,0,0,0,0,18
hamed_almaliki,0,0,0,0,0,0
ghazwanaljassem,0,0,0,0,0,6
AhmadMullaTalal,0,0,0,0,0,19
AJA_Syria,0,0,0,0,0,0
EmadTravel1973,0,0,0,0,0,0
Important__112,0,0,0,0,0,0
Salih2202199337,0,0,0,0,0,0
Organizationoff,0,0,0,0,0,0
nefansalam,0,0,0,0,0,0
maltmymycom,0,0,0,0,0,0
3ebarat_moathra,0,0,0,0,0,0
2fZa0OrFJoGtxJs,0,0,0,0,0,0
6lH6vsdeL2j1HIY,0,0,0,0,0,0
AhmedASelman5,0,0,0,0,0,0
Rebee85777835,0,0,0,0,0,0
nabukhudhnasir,0,0,0,0,0,0
tR6aRhpuU3jOgt0,0,0,0,0,0,0
eXyOY8axqpKOsp0,0,0,0,0,0,0
redrose2214,0,0,0,0,0,0
Reem_Hussein_,0,0,0,0,0,0
gAbHbdAkZh16dCN,0,0,0,0,0,0
zainabwelcom,0,0,0,0,0,0
46_892,0,0,0,0,0,0
MSDAR_NEWS,0,0,0,0,0,0
HaidarHadi,0,0,0,0,0,6
BarhamSalih,0,2,0.911765,0.951613,555.302381,14
IraqiEmbassyUSA,0,0,0,0,0,6
oicarabic,0,0,0,0,0,6
